ID Escenario,HU,Escenario,Precondición,Paso,Action,Data,Expected Result
TC-001,HU_01,Recepción de correo con Excel válido en buzón seguro,Buzón seguro de pre-registro configurado y activo. Layout Excel válido con al menos 1 registro completo y correcto en los 10 campos.,1,Ejecutar el endpoint: [https://ccop-bcsmx-payroll-back-scheduler-nominees-worker.ccopmx.dbuist.npe-k8s.recursos/management/token] para la generación del Token.,N/A,El response obtiene un 200 OK y se genera exitosamente el Bearer Token
TC-001,HU_01,Recepción de correo con Excel válido en buzón seguro,,2,"En el body del endpoint [https://ccop-bcsmx-payroll-back-orchestrator-nominees-api.int.dbuist.npe-k8s.recursos/api/v1/nominees/upload] cargar el archivo de layout y dar clic en el botón ""Send"" de Postman",Archivo layout con insumos válidos (cuentas activas),"Se obtiene un código 200 OK y el mensaje en el Response:
{
 ""message"": ""Archivo recibido, procesamiento iniciado""
}"
TC-001,HU_01,Recepción de correo con Excel válido en buzón seguro,,3,"En el body del endpoint [https://ccop-bcsmx-payroll-back-orchestrator-nominees-api.int.dbuist.npe-k8s.recursos/api/v1/payroll/nominees/task/pre-register/data-ingestion] mandar el request del scheduler:
{
 ""job_id"": ""JOB-<fecha>-XXX"",
 ""execution_date"": ""<timestamp>"",
 ""origin"": ""SCHEDULER""
}",N/A,"Se obtiene un código 200 OK y el response manda notificación con código 202 ACCEPTED: ""The layout ingestion and validation batch process has been triggered and is being executed."" / ""Process started successfully"""
TC-001,HU_01,Recepción de correo con Excel válido en buzón seguro,,4,Verificar en base de datos / reporte de resultado que el archivo fue identificado como candidato y pasó a validación de layout.,Folio generado,El archivo se marca como candidato a procesamiento y continúa a validación de estructura y registros
TC-002,HU_01,Rechazo de archivo adjunto que no es Excel,"Correo enviado al buzón seguro con un archivo adjunto en formato distinto a Excel (ej. PDF, .txt).",1,Ejecutar el endpoint: [https://ccop-bcsmx-payroll-back-scheduler-nominees-worker.ccopmx.dbuist.npe-k8s.recursos/management/token] para la generación del Token.,N/A,El response obtiene un 200 OK y se genera exitosamente el Bearer Token
TC-002,HU_01,Rechazo de archivo adjunto que no es Excel,,2,"En el body del endpoint [https://ccop-bcsmx-payroll-back-orchestrator-nominees-api.int.dbuist.npe-k8s.recursos/api/v1/nominees/upload] cargar el archivo de layout y dar clic en el botón ""Send"" de Postman",Archivo adjunto en formato .pdf o .txt (no Excel),"El sistema rechaza el procesamiento, responde con un mensaje de error genérico de sistema y registra como motivo ""formato de archivo no soportado"". No se genera notificación de correo al remitente."
TC-003,HU_01,Correo sin archivo adjunto,Correo enviado al buzón seguro sin ningún archivo adjunto.,1,Ejecutar el endpoint: [https://ccop-bcsmx-payroll-back-scheduler-nominees-worker.ccopmx.dbuist.npe-k8s.recursos/management/token] para la generación del Token.,N/A,El response obtiene un 200 OK y se genera exitosamente el Bearer Token
TC-003,HU_01,Correo sin archivo adjunto,,2,"En el body del endpoint [https://ccop-bcsmx-payroll-back-orchestrator-nominees-api.int.dbuist.npe-k8s.recursos/api/v1/nominees/upload] cargar el archivo de layout y dar clic en el botón ""Send"" de Postman",Sin archivo adjunto (body vacío),"El sistema no identifica archivo candidato a procesamiento; responde error genérico de sistema, sin notificación de correo"
TC-004,HU_01,Correo proveniente de un origen distinto al buzón seguro,Se envía el layout válido desde una casilla de correo distinta a la configurada como buzón seguro.,1,Enviar el correo con el layout adjunto desde una cuenta de correo distinta al buzón seguro autorizado.,"Layout válido, remitente no autorizado",El sistema ignora el correo; no se genera ningún procesamiento ni notificación
TC-005,HU_01,Layout con los 10 campos obligatorios/opcionales y longitudes correctas,"Layout Excel con 1 registro que contiene los 10 campos (Convenio, Número de empleado, Primer Apellido, Segundo Apellido, Primer Nombre, Segundo Nombre, RFC, CURP, Correo electrónico, Rango Salarial), todos con tipo y longitud correctos.",1,Ejecutar el endpoint: [https://ccop-bcsmx-payroll-back-scheduler-nominees-worker.ccopmx.dbuist.npe-k8s.recursos/management/token] para la generación del Token.,N/A,El response obtiene un 200 OK y se genera exitosamente el Bearer Token
TC-005,HU_01,Layout con los 10 campos obligatorios/opcionales y longitudes correctas,,2,"En el body del endpoint [https://ccop-bcsmx-payroll-back-orchestrator-nominees-api.int.dbuist.npe-k8s.recursos/api/v1/nominees/upload] cargar el archivo de layout y dar clic en el botón ""Send"" de Postman",Registro con los 10 campos completos y válidos,"Se obtiene un código 200 OK y el mensaje en el Response:
{
 ""message"": ""Archivo recibido, procesamiento iniciado""
}"
